open,high,low,close,volume,amount,timestamps
7.383423,7.394493,7.359701,7.372854,200799.53,1503618.5,2025-09-19 15:22:00
7.3670287,7.377781,7.356348,7.365317,147082.55,1070835.5,2025-09-19 15:23:00
7.3800163,7.3861675,7.370884,7.375762,64133.445,475672.2,2025-09-19 15:24:00
7.374302,7.3776827,7.351496,7.3574657,143217.22,1064863.6,2025-09-19 15:25:00
7.356309,7.364861,7.346823,7.3552585,83747.016,619335.25,2025-09-19 15:26:00
7.352303,7.3705454,7.3479457,7.3650994,81839.97,605388.3,2025-09-19 15:27:00
7.363555,7.367785,7.349858,7.355444,78416.53,580862.06,2025-09-19 15:28:00
7.35588,7.3635006,7.348442,7.355573,61306.72,450881.2,2025-09-19 15:29:00
7.3588963,7.4108357,7.3567123,7.40375,209973.42,1557270.8,2025-09-19 15:30:00
7.419195,7.4445906,7.4098387,7.429373,251992.64,1893721.2,2025-09-19 15:31:00
7.4283667,7.432073,7.4028597,7.4112744,124985.016,935044.25,2025-09-19 15:32:00
7.415115,7.4175277,7.4041123,7.4089465,59994.22,455079.0,2025-09-19 15:33:00
7.407267,7.4180837,7.4006577,7.411816,66006.68,490276.5,2025-09-19 15:34:00
7.4114294,7.417765,7.401325,7.4094343,80125.84,598036.94,2025-09-19 15:35:00
7.408327,7.4144597,7.3928747,7.3991947,79964.24,594699.8,2025-09-19 15:36:00
7.398598,7.4013,7.383141,7.387618,58921.867,432804.34,2025-09-19 15:37:00
7.385094,7.391089,7.3755927,7.3822894,47488.23,344323.0,2025-09-19 15:38:00
7.3815312,7.3857923,7.3704515,7.3746877,54642.6,400896.75,2025-09-19 15:39:00
7.376888,7.383283,7.3687277,7.374244,92045.47,665059.3,2025-09-19 15:40:00
7.3850007,7.3880897,7.375534,7.378661,63876.414,472990.62,2025-09-19 15:41:00
7.384932,7.387623,7.340548,7.3835998,56834.656,422876.25,2025-09-19 15:42:00
7.3792353,7.388167,7.3716326,7.3818226,47963.645,360154.62,2025-09-19 15:43:00
7.3821573,7.390999,7.3753977,7.3858643,29508.086,221397.9,2025-09-19 15:44:00
7.3811083,7.3874273,7.370758,7.3791575,33219.28,238634.75,2025-09-19 15:45:00
